motivation,name,year
for its efforts to achieve a world free of nuclear weapons and for demonstrating through witness testimony that nuclear weapons must never be used again.,Q1989908_2024,2024
for their prominent position in the international movement for peace and arbitration,Q202049_1909,1909
for his indefatigable work for international understanding and his pivotal role in establishing the United Nations,Q202979_1945,1945
for their work for disarmament and nuclear and weapon-free zones,Q203843_1982,1982
"for its efforts to combat hunger, for its contribution to bettering conditions for peace in conflict-affected areas and for acting as a driving force in efforts to prevent the use of hunger as a weapon of war and conflict.",Q204344_2020,2020
for their lifelong contributions to the cause of peace and organized internationalism,Q206446_1921,1921
"for being a source of inspiration to repressed people, especially in Latin America",Q206505_1980,1980
for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34,Q208665_1934,1934
for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011,Q21078159_2015,2015
for their work for the banning and clearing of anti-personnel mines,Q211239_1997,1997
for his longstanding contribution to the cause of disarmament and peace,Q211856_1959,1959
for his non-violent struggle against apartheid,Q212955_1960,1960
for his work as mediator in Palestine in 1948-1949,Q213500_1950,1950
for her lifelong work for the cause of peace,Q215139_1946,1946
"for his role as co-founder of the Institut de droit international, initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague, and pioneer in the field of international legal relations",Q216872_1911,1911
for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations,Q217706_1920,1920
for preventing armed clashes and creating conditions for negotiations,Q219575_1988,1988
"for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms",Q219982_1995,1995
for their efforts to end the use of sexual violence as a weapon of war and armed conflict,Q22007112_2018,2018
for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries,Q220619_1912,1912
for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences,Q230814_1907,1907
for his struggle to ensure the rights of man as stipulated in the UN Declaration,Q232873_1968,1968
for jointly having negotiated a cease fire in Vietnam in 1973,Q233969_1973,1973
for their work towards a just and peaceful solution to the conflict in East Timor,Q234001_1996,1996
"for his decades of untiring effort to find peaceful solutions to international conflicts, to advance democracy and human rights, and to promote economic and social development",Q23685_2002,2002
for their prominent position in the international movement for peace and arbitration,Q238731_1909,1909
for his efforts to secure and develop human rights throughout the world,Q244395_1974,1974
for spreading authoritative information and by creating awareness of the catastrophic consequences of nuclear war,Q245385_1985,1985
for paving the way for a meaningful dialogue between East and West,Q2514_1971,1971
"for acting as a link between the peace societies of the various countries, and helping them to organize the world rallies of the international peace movement",Q252420_1910,1910
for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind,Q271517_1931,1931
for having exposed by his pen the illusion of war and presented a convincing plea for international cooperation and peace,Q272224_1933,1933
for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation,Q273607_1927,1927
"for his important efforts, on several continents and over more than three decades, to resolve international conflicts",Q29230_2008,2008
for the leading role he played in the radical changes in East-West relations,Q30487_1990,1990
for her work for bringing help to suffering humanity,Q30547_1979,1979
"for his lifelong effort to conquer hunger and want, thereby helping to remove a major cause of military conflict and war",Q315143_1949,1949
for their work for the banning and clearing of anti-personnel mines,Q325523_1997,1997
for their struggle against the suppression of children and young people and for the right of all children to education,Q32732_2014,2014
"for his role in bringing to an end the bloody war recently waged between two of the world's great powers, Japan and Russia",Q33866_1906,1906
for their efforts to create peace in the Middle East,Q34060_1994,1994
for their efforts to create peace in the Middle East,Q34211_1994,1994
for his role as founder of the League of Nations,Q34296_1919,1919
for their struggle against the suppression of children and young people and for the right of all children to education,Q3442375_2014,2014
for her non-violent struggle for democracy and human rights,Q36740_1991,1991
"for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms",Q381282_1995,1995
for his long and non-violent struggle for fundamental human rights in China,Q41617_2010,2010
for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way,Q41984_2005,2005
for jointly having negotiated peace between Egypt and Israel in 1978,Q42013_1978,1978
for worldwide respect for human rights,Q42970_1977,1977
for his role as a unifying leader figure in the non-violent campaign to resolve the problem of apartheid in  South Africa,Q43033_1984,1984
for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work,Q43179_2011,2011
for her tireless work promoting democratic rights for the people of Venezuela and for her struggle to achieve a just and peaceful transition from dictatorship to democracy.,Q439564_2025,2025
for their efforts to create economic and social development from below,Q43969_2006,2006
for non-violent struggle for free trade unions and human rights in Poland,Q444_1983,1983
"for his work for democracy and human rights in South Korea and in East Asia in general, and for peace and reconciliation with North Korea in particular",Q45785_2000,2000
"for over six decades contributed to the advancement of peace and reconciliation, democracy and human rights in Europe",Q458_2012,2012
"for their pioneering work in the international peace movement and compassionate effort to relieve human suffering, thereby promoting the fraternity between nations",Q464677_1947,1947
"for her contribution to sustainable development, democracy and peace",Q46795_2004,2004
for his fight against the nuclear arms race between East and West,Q48983_1962,1962
"for his altruism, reverence for life, and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one",Q49325_1952,1952
in recognition of the organisation's pioneering humanitarian work on several continents,Q49330_1999,1999
for his work for lasting peace in Central America,Q49344_1987,1987
for her fight against the oppression of women in Iran and her fight to promote human rights and freedom for all,Q4967771_2023,2023
"for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea",Q50365049_2019,2019
for their lifelong contributions to the cause of peace and organized internationalism,Q53620_1921,1921
for creating international legislation insuring certain norms for working conditions in every country,Q54129_1969,1969
for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons,Q547940_2017,2017
for his resolute efforts to bring the country's more than 50-year-long civil war to an end,Q57311_2016,2016
for their efforts to create peace in the Middle East,Q57410_1994,1994
for the efforts to take care of wounded soldiers and prisoners of war and their families,Q5987345_1917,1917
for the great work it has performed during the war on behalf of humanity,Q5987345_1944,1944
for promoting the principles of the Geneva Convention and cooperation with the UN,Q5987345_1963,1963
for jointly having negotiated a cease fire in Vietnam in 1973,Q66107_1973,1973
"for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace.",Q6761526_2021,2021
"for their pioneering work in the international peace movement and compassionate effort to relieve human suffering, thereby promoting the fraternity between nations",Q677499_1947,1947
,Q7178_1917,1917
,Q7178_1944,1944
,Q7178_1963,1963
"for his leading role in the repatriation of prisoners of war, in international relief work and as the League of Nations' High Commissioner for refugees",Q72292_1922,1922
for its effort to enhance solidarity between nations and reduce the difference between rich and poor states,Q740308_1965,1965
for having carried on the work of Fridtjof Nansen to the benefit of refugees across Europe,Q743558_1938,1938
for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples,Q76_2009,2009
for his burning love for freedom of thought and expression and his valuable contribution to the cause of peace,Q76358_1935,1935
for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation,Q76696_1927,1927
"for his effort to expose and fight what he considers to be the main cause of war, namely, the anarchy in international relations",Q78488_1911,1911
"for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa",Q8023_1993,1993
for his non-violent struggle for civil rights for the Afro-American population,Q8027_1964,1964
for its extensive efforts to eliminate chemical weapons,Q842490_2013,2013
"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.",Q851563_2022,2022
"for his struggle for human rights in the Soviet Union, for disarmament and cooperation between all nations",Q997_1975,1975
for theoretical discoveries of topological phase transitions and topological phases of matter,Q1002250_2016,2016
for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Q103854_1975,1975
for groundbreaking experiments regarding the two-dimensional material graphene,Q104104_2010,2010
for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation,Q104651_2006,2006
for pioneering contributions to the theory of superconductors and superfluids,Q104668_2003,2003
"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction",Q104779_1984,1984
for the discovery of the accelerating expansion of the Universe through observations of distant supernovae.,Q106454_2011,2011
for groundbreaking experiments regarding the two-dimensional material graphene,Q106494_2010,2010
for the discovery of the accelerating expansion of the Universe through observations of distant supernovae.,Q106949_2011,2011
for the discovery of asymptotic freedom in the theory of the strong interaction,Q107407_2004,2004
for the discovery of the tau lepton,Q107416_1995,1995
for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks,Q107419_1989,1989
"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",Q107420_1979,1979
for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Q107423_1975,1975
for the discovery of asymptotic freedom in the theory of the strong interaction,Q107450_2004,2004
for groundbreaking contributions to our understanding of complex physical systems,Q109370_2021,2021
for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems,Q109588_2012,2012
for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,Q11443689_2014,2014
"for the discovery of neutrino oscillations, which shows that neutrinos have mass",Q11538917_2015,2015
for their important break-through in the discovery of superconductivity in ceramic materials,Q122298_1987,1987
for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith,Q123022_1952,1952
in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys,Q123026_1920,1920
for their design of the scanning tunneling microscope,Q123029_1986,1986
for the discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales,Q1235614_2021,2021
for the discovery of an exoplanet orbiting a solar-type star,Q123975_2019,2019
for the discovery of an exoplanet orbiting a solar-type star,Q124013_2019,2019
for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid,Q127234_1907,1907
for his discovery of the effect named after him,Q127944_1927,1927
for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons,Q130113_1961,1961
for his work on the elementary charge of electricity and on the photoelectric effect,Q130975_1923,1923
for his work on the equation of state for gases and liquids,Q131721_1910,1910
for their services in the analysis of crystal structure by means of X-rays,Q131729_1915,1915
for their experimental discovery of the diffraction of electrons by crystals,Q133222_1937,1937
for his method of reproducing colours photographically based on the phenomenon of interference,Q133232_1908,1908
"for his pioneering theories for condensed matter, especially liquid helium",Q133267_1962,1962
for their services in the analysis of crystal structure by means of X-rays,Q133747_1915,1915
for their experimental discovery of the diffraction of electrons by crystals,Q133846_1937,1937
"for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium",Q134085_1926,1926
"for experiments with entangled photons, establishing the violation of Bell inequalities and pioneering quantum information science",Q1365270_2022,2022
for his theoretical studies of the physical processes of importance to the structure and evolution of the stars,Q148109_1983,1983
"for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider",Q151746_2013,2013
"for his invention and development of particle detectors, in particular the multiwire proportional chamber",Q153178_1992,1992
for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer,Q153194_1947,1947
"for their jointly developed theory of superconductivity, usually called the BCS-theory",Q153201_1972,1972
for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino,Q153210_1988,1988
for the discovery of Giant Magnetoresistance,Q153219_2007,2007
for the discovery and the interpretation of the Cherenkov effect,Q155759_1958,1958
"for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos",Q155773_2002,2002
for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces,Q155777_1949,1949
for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics,Q155781_1970,1970
for his invention and development of the holographic method,Q155786_1971,1971
"for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles",Q155790_1963,1963
"for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars",Q155794_1967,1967
"for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation",Q156286_1993,1993
for decisive contributions to the LIGO detector and the observation of gravitational waves,Q15900993_2017,2017
for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys,Q160518_1912,1912
for his discovery of the characteristic Röntgen radiation of the elements,Q160522_1917,1917
for his method of making the paths of electrically charged particles visible by condensation of vapour,Q162900_1927,1927
for their researches on semiconductors and their discovery of the transistor effect,Q163415_1956,1956
for groundbreaking achievements concerning the transmission of light in fibers for optical communication,Q16389_2009,2009
for his resonance method for recording the magnetic properties of atomic nuclei,Q165969_1944,1944
for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,Q1673706_2014,2014
for his work on the thermionic phenomenon and especially for the discovery of the law named after him,Q169330_1928,1928
for his discovery of the positron,Q169366_1936,1936
"for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements",Q169577_1939,1939
for theoretical discoveries of topological phase transitions and topological phases of matter,Q1700920_2016,2016
for his discoveries and research in the field of X-ray spectroscopy,Q170741_1924,1924
for their discovery of cosmic microwave background radiation,Q171034_1978,1978
"for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics",Q172118_1946,1946
for development of methods to cool and trap atoms with laser light,Q172466_1997,1997
for his contributions and discoveries concerning the classification of elementary particles and their interactions,Q172840_1969,1969
for his basic inventions and discoveries in the area of low-temperature physics,Q172844_1978,1978
for their discovery of cosmic microwave background radiation,Q172877_1978,1978
for their discovery of the antiproton,Q173028_1959,1959
"for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos",Q175519_2002,2002
for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method,Q178103_1950,1950
"for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis",Q178344_1968,1968
"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",Q179282_1979,1979
for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation,Q179572_2006,2006
"for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively",Q179852_1973,1973
"for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects",Q181363_1973,1973
for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles,Q181369_1957,1957
for his part in the invention of the integrated circuit,Q182031_2000,2000
for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith,Q183270_1952,1952
for developing semiconductor heterostructures used in high-speed- and opto-electronics,Q183279_2000,2000
for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles,Q183631_1951,1951
for their discovery of the antiproton,Q183655_1959,1959
for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles,Q183679_1957,1957
"for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation",Q184499_1948,1948
"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles",Q184563_1965,1965
"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",Q184566_1964,1964
for his precision determination of the magnetic moment of the electron,Q184571_1955,1955
for their researches on semiconductors and their discovery of the transistor effect,Q184577_1956,1956
for elucidating the quantum structure of electroweak interactions in physics,Q184592_1999,1999
"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles",Q186465_1965,1965
"for pioneering contributions to astrophysics, which have led to the discovery of cosmic X-ray sources",Q186481_2002,2002
for his discoveries concerning the fine structure of the hydrogen spectrum,Q186497_1955,1955
"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction",Q187199_1984,1984
"for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers",Q187224_1991,1991
"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics",Q187822_1990,1990
for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics,Q188120_2008,2008
for pioneering contributions to the theory of superconductors and superfluids,Q188128_2003,2003
"for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope",Q188293_1953,1953
for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems,Q189485_1977,1977
for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino,Q189741_1988,1988
for their contribution to the development of laser spectroscopy,Q189987_1981,1981
"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars",Q189990_1974,1974
for their discovery of a new form of quantum fluid with fractionally charged excitations,Q189997_1998,1998
"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics",Q190495_1990,1990
for their contribution to the development of laser spectroscopy,Q190503_1981,1981
for development of methods to cool and trap atoms with laser light,Q190697_1997,1997
for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Q190745_1975,1975
for development of methods to cool and trap atoms with laser light,Q190756_1997,1997
"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars",Q190766_1974,1974
for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems,Q190770_1977,1977
for the detection of the neutrino,Q191922_1995,1995
for their pioneering work in the discovery of a heavy elementary particle of a new kind,Q192106_1976,1976
"for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider",Q192112_2013,2013
"for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation",Q192685_1993,1993
"for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively",Q192688_1973,1973
for the development of neutron spectroscopy,Q192689_1994,1994
for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino,Q192695_1988,1988
for the discovery and the interpretation of the Cherenkov effect,Q192703_1958,1958
for their discovery of superfluidity in helium-3,Q192708_1996,1996
for his contribution to the development of high-resolution electron spectroscopy,Q192712_1981,1981
for their pioneering work in the discovery of a heavy elementary particle of a new kind,Q192715_1976,1976
for pioneering contributions to the theory of superconductors and superfluids,Q192718_2003,2003
for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons,Q193496_1980,1980
for his theory for critical phenomena in connection with phase transitions,Q193503_1982,1982
for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems,Q193655_1977,1977
for the discovery that black hole formation is a robust prediction of the general theory of relativity,Q193803_2020,2020
for the discovery of the accelerating expansion of the Universe through observations of distant supernovae.,Q201452_2011,2011
"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics",Q201470_1990,1990
for the development of the neutron diffraction technique,Q201506_1994,1994
for their discovery of superfluidity in helium-3,Q201853_1996,1996
for their discovery of a new form of quantum fluid with fractionally charged excitations,Q202138_1998,1998
for elucidating the quantum structure of electroweak interactions in physics,Q202149_1999,1999
for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature,Q202164_2008,2008
for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature,Q202168_2008,2008
"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates",Q205954_2001,2001
"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates",Q206379_2001,2001
"for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique",Q206390_2005,2005
for their discovery of superfluidity in helium-3,Q206405_1996,1996
for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons,Q206499_1980,1980
for decisive contributions to the LIGO detector and the observation of gravitational waves,Q2128461_2017,2017
for the discovery of macroscopic quantum mechanical tunnelling and energy quantisation in an electric circuit,Q26703310_2025,2025
"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",Q28189_1979,1979
for the discovery of macroscopic quantum mechanical tunnelling and energy quantisation in an electric circuit,Q28976188_2025,2025
for decisive contributions to the LIGO detector and the observation of gravitational waves,Q323320_2017,2017
in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him,Q35149_1901,1901
in recognition of their contributions to the development of wireless telegraphy.,Q36488_1909,1909
"for experiments with entangled photons, establishing the violation of Bell inequalities and pioneering quantum information science",Q364997_2022,2022
for groundbreaking contributions to our understanding of complex physical systems,Q3675789_2021,2021
in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,Q37463_1903,1903
for foundational discoveries and inventions that enable machine learning with artificial neural networks,Q391237_2024,2024
"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles",Q39246_1965,1965
for the discovery of asymptotic freedom in the theory of the strong interaction,Q40262_2004,2004
"for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen",Q40904_1932,1932
in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity,Q41269_1903,1903
in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,Q41688_1902,1902
for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name,Q44286_1961,1961
for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe,Q46120_1983,1983
in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases,Q47285_1906,1906
for the discovery of new productive forms of atomic theory,Q47480_1933,1933
for the discovery of a supermassive compact objectat the centre of our galaxy,Q493956_2020,2020
for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics,Q54945_1970,1970
for the discovery of macroscopic quantum mechanical tunnelling and energy quantisation in an electric circuit,Q555849_2025,2025
"for their method of generating high-intensity, ultra-short optical pulses. | for groundbreaking inventions in the field of laser physics",Q556543_2018,2018
for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,Q565544_2023,2023
"for their method of generating high-intensity, ultra-short optical pulses",Q56855591_2018,2018
no,Q57020342_2023,2023
for his work on cathode rays,Q57063_1905,1905
for their discovery of the laws governing the impact of an electron upon an atom,Q57066_1925,1925
for his discovery of the diffraction of X-rays by crystals,Q57067_1914,1914
for his discoveries regarding the laws governing the radiation of heat,Q57068_1911,1911
for their discovery of the laws governing the impact of an electron upon an atom,Q57070_1925,1925
for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton,Q57072_1943,1943
in recognition of their contributions to the development of wireless telegraphy,Q57077_1909,1909
for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields,Q57092_1919,1919
for their discoveries concerning nuclear shell structure,Q57100_1963,1963
for the discovery of Giant Magnetoresistance,Q57120_2007,2007
for the development of the ion trap technique,Q57227_1989,1989
"for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction",Q58978_1954,1954
for his work on the scattering of light and for the discovery of the effect named after him,Q60429_1930,1930
for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems,Q61045_2012,2012
"for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium",Q62891_1913,1913
for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles,Q62897_1951,1951
,Q629583_0,0
for his contribution to the quantum theory of optical coherence,Q64188_2005,2005
for the discovery of a supermassive compact objectat the centre of our galaxy,Q65807_2020,2020
"for the discovery of the Exclusion Principle, also called the Pauli Principle",Q65989_1945,1945
for the development of the ion trap technique,Q70532_1989,1989
for the optical tweezers and their application to biological systems,Q708472_2018,2018
for his services in the investigation of the structure of atoms and of the radiation emanating from them,Q7085_1922,1922
"for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique",Q71013_2005,2005
for their discovery of a new form of quantum fluid with fractionally charged excitations,Q71015_1998,1998
for developing semiconductor heterostructures used in high-speed- and opto-electronics,Q71016_2000,2000
"for his fundamental work in electron optics, and for the design of the first electron microscope",Q71022_1986,1986
for the discovery and development of optical methods for studying Hertzian resonances in atoms,Q71023_1966,1966
for the discovery of the quantized Hall effect,Q71024_1985,1985
"for the discovery of neutrino oscillations, which shows that neutrinos have mass",Q710597_2015,2015
in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,Q7186_1903,1903
for theoretical discoveries of topological phase transitions and topological phases of matter,Q726394_2016,2016
for theoretical discoveries in physical cosmology,Q728331_2019,2019
for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,Q730065_2014,2014
for the invention of an imaging semiconductor circuit - the CCD sensor,Q73058_2009,2009
for the invention of an imaging semiconductor circuit - the CCD sensor,Q76373_2009,2009
"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates",Q76462_2001,2001
for the coincidence method and his discoveries made therewith,Q76474_1954,1954
for their important break-through in the discovery of superconductivity in ceramic materials,Q76687_1987,1987
for their design of the scanning tunneling microscope,Q76766_1986,1986
for their discoveries concerning nuclear shell structure,Q76797_1963,1963
for the discovery and the interpretation of the Cherenkov effect,Q76970_1958,1958
for his discovery of cosmic radiation,Q78520_1936,1936
"for experiments with entangled photons, establishing the violation of Bell inequalities and pioneering quantum information science",Q78610_2022,2022
in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,Q79000_1902,1902
for the discovery of the neutron,Q80884_1935,1935
for the invention of the bubble chamber,Q80905_1960,1960
"for their jointly developed theory of superconductivity, usually called the BCS-theory",Q82563_1972,1972
for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies,Q83297_1904,1904
for his discovery of the wave nature of electrons,Q83331_1929,1929
"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",Q83552_1964,1964
"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",Q83557_1964,1964
for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,Q86970_2023,2023
"for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons",Q8753_1938,1938
in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta,Q9021_1918,1918
for the discovery of new productive forms of atomic theory,Q9130_1933,1933
for foundational discoveries and inventions that enable machine learning with artificial neural networks,Q92894_2024,2024
"for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect",Q937_1921,1921
for their researches on semiconductors and their discovery of the transistor effect,Q949_1956,1956
"for their jointly developed theory of superconductivity, usually called the BCS-theory",Q949_1972,1972
